Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
April,23,1993,Freeman Coliseum,"La Semana Alegre : Grupo Flash, Fama, Jean LeGrand Jay Perez, Esmeralda",Fama,La Semana Alegre,10431
April,23,1993,Freeman Coliseum,"La Semana Alegre : Grupo Flash, Fama, Jean LeGrand Jay Perez, Esmeralda",Jean LeGrand Jay Perez,La Semana Alegre,10431
April,23,1993,Freeman Coliseum,"La Semana Alegre : Grupo Flash, Fama, Jean LeGrand Jay Perez, Esmeralda",Esmeralda,La Semana Alegre,10431
April,24,1993,Freeman Coliseum,"La Semana Alegre : Legs Diamond, April Wine, Cherry Street",Legs Diamond,La Semana Alegre,10432
April,24,1993,Freeman Coliseum,"La Semana Alegre : Legs Diamond, April Wine, Cherry Street",April Wine,La Semana Alegre,10432
April,24,1993,Freeman Coliseum,"La Semana Alegre : Legs Diamond, April Wine, Cherry Street",Cherry Street,La Semana Alegre,10432
April,24,1993,Freeman Coliseum,"La Semana Alegre : The Turtles, The Grass Roots, Time & A Half Desperadoz, Hometown Boyz",The Turtles,La Semana Alegre,10433
April,24,1993,Freeman Coliseum,"La Semana Alegre : The Turtles, The Grass Roots, Time & A Half Desperadoz, Hometown Boyz",The Grass Roots,La Semana Alegre,10433
April,24,1993,Freeman Coliseum,"La Semana Alegre : The Turtles, The Grass Roots, Time & A Half Desperadoz, Hometown Boyz",Time & A Half Desperadoz,La Semana Alegre,10433
April,24,1993,Freeman Coliseum,"La Semana Alegre : The Turtles, The Grass Roots, Time & A Half Desperadoz, Hometown Boyz",Hometown Boyz,La Semana Alegre,10433
April,25,1993,Hemisfair Park,"Texas Live!: Texas Tornados, Holly Dunn, Emilio Navaira, David Lee Garza, T. Graham Brown, Gibson/Miller Band, Charlie Nagatani",Texas Tornados,Texas Live!,10434
April,25,1993,Hemisfair Park,"Texas Live!: Texas Tornados, Holly Dunn, Emilio Navaira, David Lee Garza, T. Graham Brown, Gibson/Miller Band, Charlie Nagatani",Holly Dunn,Texas Live!,10434
April,25,1993,Hemisfair Park,"Texas Live!: Texas Tornados, Holly Dunn, Emilio Navaira, David Lee Garza, T. Graham Brown, Gibson/Miller Band, Charlie Nagatani",Emilio Navaira,Texas Live!,10434
April,25,1993,Hemisfair Park,"Texas Live!: Texas Tornados, Holly Dunn, Emilio Navaira, David Lee Garza, T. Graham Brown, Gibson/Miller Band, Charlie Nagatani",David Lee Garza,Texas Live!,10434
April,25,1993,Hemisfair Park,"Texas Live!: Texas Tornados, Holly Dunn, Emilio Navaira, David Lee Garza, T. Graham Brown, Gibson/Miller Band, Charlie Nagatani",T. Graham Brown,Texas Live!,10434
April,25,1993,Hemisfair Park,"Texas Live!: Texas Tornados, Holly Dunn, Emilio Navaira, David Lee Garza, T. Graham Brown, Gibson/Miller Band, Charlie Nagatani",Gibson/Miller Band,Texas Live!,10434
April,25,1993,Hemisfair Park,"Texas Live!: Texas Tornados, Holly Dunn, Emilio Navaira, David Lee Garza, T. Graham Brown, Gibson/Miller Band, Charlie Nagatani",Charlie Nagatani,Texas Live!,10434
April,30,1993,Gruene Hall,Jerry Jeff Walker,Jerry Jeff Walker,,10436
May,1,1993,Eagles Nest Christian Fellowship,"Kim Boyce, Willy Mayfield",Kim Boyce,,10437
May,1,1993,Eagles Nest Christian Fellowship,"Kim Boyce, Willy Mayfield",Willy Mayfield,,10437
May,1,1993,John T. Floore's Country Store,George Chambers and the Country Gentlemen,George Chambers and the Country Gentlemen,,10438
May,1,1993,Gruene Hall,Michael Martin Murphey,Michael Martin Murphey,,10439
May,1,1993,Gruene Hall,Jerry Jeff Walker,Jerry Jeff Walker,,10440
May,2,1993,TACOLAND,"Railroad Jerk, Splinter, Boxcar Satan",Railroad Jerk,,10441
May,2,1993,TACOLAND,"Railroad Jerk, Splinter, Boxcar Satan",Splinter,,10441
May,2,1993,TACOLAND,"Railroad Jerk, Splinter, Boxcar Satan",Boxcar Satan,,10441
May,6,1993,Sneakers,"Drivin-N-Cryin, Flowerhead",Drivin-N-Cryin,,10442
May,6,1993,Sneakers,"Drivin-N-Cryin, Flowerhead",Flowerhead,,10442
