Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
December,16,1912,The Plaza,"Vallecitas Leopards, Les Silvas, Grey Trio, Cait Brothers, Holden and Harron, Wright and Lawrence",Les Silvas,,153
December,16,1912,The Plaza,"Vallecitas Leopards, Les Silvas, Grey Trio, Cait Brothers, Holden and Harron, Wright and Lawrence",Grey Trio,,153
December,16,1912,The Plaza,"Vallecitas Leopards, Les Silvas, Grey Trio, Cait Brothers, Holden and Harron, Wright and Lawrence",Cait Brothers,,153
December,16,1912,The Plaza,"Vallecitas Leopards, Les Silvas, Grey Trio, Cait Brothers, Holden and Harron, Wright and Lawrence",Holden and Harron,,153
December,16,1912,The Plaza,"Vallecitas Leopards, Les Silvas, Grey Trio, Cait Brothers, Holden and Harron, Wright and Lawrence",Wright and Lawrence,,153
December,16,1912,Royal Theater,"Otto Flechtl's Tyroleans, Clarke and Adler, Collins and Hubert, Leslie Kline",Otto Flechtl's Tyroleans,,154
December,16,1912,Royal Theater,"Otto Flechtl's Tyroleans, Clarke and Adler, Collins and Hubert, Leslie Kline",Clarke and Adler,,154
December,16,1912,Royal Theater,"Otto Flechtl's Tyroleans, Clarke and Adler, Collins and Hubert, Leslie Kline",Collins and Hubert,,154
December,16,1912,Royal Theater,"Otto Flechtl's Tyroleans, Clarke and Adler, Collins and Hubert, Leslie Kline",Leslie Kline,,154
May,6,1913,Travis Park Methodist Church,"Temperance Convention: YMCA Choir, AG Goffa and his Orchestra",YMCA Choir,Temperance Convention,155
May,6,1913,Travis Park Methodist Church,"Temperance Convention: YMCA Choir, AG Goffa and his Orchestra",AG Goffa and his Orchestra,Temperance Convention,155
November,22,1913,Grand Opera House,William H. Smith and his Orchestra,William H. Smith and his Orchestra,,156
December,24,1913,Alamo Plaza,City Christmas Celebration: William H. Smith and his Orchestra,William H. Smith and his Orchestra,City Christmas Celebration,157
July,18,1914,Market Square,Tenor Indios,Tenor Indios,,158
July,26,1914,St. Anthony Hotel,William H. Smith and his Orchestra,William H. Smith and his Orchestra,,159
October,13,1914,Teatro Zaragosa,"Gabino Calderon (violin), Aurora Prado",Gabino Calderon (violin),,160
October,13,1914,Teatro Zaragosa,"Gabino Calderon (violin), Aurora Prado",Aurora Prado,,160
October,15,1914,Teatro Zaragosa,"Maria de Jesus Quinones, Tiple de La Compania de Zarzuela, Operatas del Conoeido Empersario Ricardo de La Vega",Maria de Jesus Quinones,,161
October,15,1914,Teatro Zaragosa,"Maria de Jesus Quinones, Tiple de La Compania de Zarzuela, Operatas del Conoeido Empersario Ricardo de La Vega",Tiple de La Compania de Zarzuela,,161
October,15,1914,Teatro Zaragosa,"Maria de Jesus Quinones, Tiple de La Compania de Zarzuela, Operatas del Conoeido Empersario Ricardo de La Vega",Operatas del Conoeido Empersario Ricardo de La Vega,,161
October,23,1914,Kress Store on Commerce,Smith Orchestra,Smith Orchestra,,162
November,18,1914,Travis Club,"Miguel Lelo de Larren, Honorario Rodriguez",Miguel Lelo de Larren,,163
November,18,1914,Travis Club,"Miguel Lelo de Larren, Honorario Rodriguez",Honorario Rodriguez,,163
November,19,1914,Teatro Zaragosa,La Abadia del Castro de Compania de Ricardo de La Vega,La Abadia del Castro de Compania de Ricardo de La Vega,,164
January,12,1915,Teatro Zaragosa,Compania de Ricardo de la Vega con Josefina y Maria Luchese,Compania de Ricardo de la Vega con Josefina y Maria Luchese,,165
February,21,1915,St. Anthony Hotel,Luz Amelia Avilez de Cerdio,Luz Amelia Avilez de Cerdio,,166
March,1,1915,Gunter Hotel,D'Acugna Society First Concert: Maestro JM D'Acugna and Mme. Colombati D'Acugna,Maestro JM D'Acugna and Mme. Colombati D'Acugna,D'Acugna Society First Concert,167
April,15,1915,Gunter Hotel,Luz Amelia Avilez de Cerdio,Luz Amelia Avilez de Cerdio,,168
September,12,1915,San Pedro Park,"San Antonio Municipal Band, Alicia Peteliere",San Antonio Municipal Band,,169
September,12,1915,San Pedro Park,"San Antonio Municipal Band, Alicia Peteliere",Alicia Peteliere,,169
September,15,1915,Madison Park,San Antonio Municipal Band,San Antonio Municipal Band,,170
September,18,1915,Madison Park,"San Antonio Municipal Band, Alicia Peteliere",San Antonio Municipal Band,,171
September,18,1915,Madison Park,"San Antonio Municipal Band, Alicia Peteliere",Alicia Peteliere,,171
October,4,1915,Gunter Hotel,Alfonso Ortist,Alfonso Ortist,,172
January,28,1917,Grand Opera House,Minneapolis Symphony Orchestra,Minneapolis Symphony Orchestra,,173
January,29,1917,Grand Opera House,Minneapolis Symphony Orchestra,Minneapolis Symphony Orchestra,,174
April,9,1917,Beethoven Hall,"Mary Aubrey, Ella Mackensen (piano)",Mary Aubrey,,175
April,9,1917,Beethoven Hall,"Mary Aubrey, Ella Mackensen (piano)",Ella Mackensen (piano),,175
April,10,1917,Gunter Hotel,"D'Aosta Club Concert: Josephine Lucchese, Mario Lucchese, Fannie Small, Franklyn De Prez, Lucille Weisman, Mr. Lulipon",Josephine Lucchese,D'Aosta Club Concert,176
April,10,1917,Gunter Hotel,"D'Aosta Club Concert: Josephine Lucchese, Mario Lucchese, Fannie Small, Franklyn De Prez, Lucille Weisman, Mr. Lulipon",Mario Lucchese,D'Aosta Club Concert,176
April,10,1917,Gunter Hotel,"D'Aosta Club Concert: Josephine Lucchese, Mario Lucchese, Fannie Small, Franklyn De Prez, Lucille Weisman, Mr. Lulipon",Fannie Small,D'Aosta Club Concert,176
April,10,1917,Gunter Hotel,"D'Aosta Club Concert: Josephine Lucchese, Mario Lucchese, Fannie Small, Franklyn De Prez, Lucille Weisman, Mr. Lulipon",Franklyn De Prez,D'Aosta Club Concert,176
April,10,1917,Gunter Hotel,"D'Aosta Club Concert: Josephine Lucchese, Mario Lucchese, Fannie Small, Franklyn De Prez, Lucille Weisman, Mr. Lulipon",Lucille Weisman,D'Aosta Club Concert,176
April,10,1917,Gunter Hotel,"D'Aosta Club Concert: Josephine Lucchese, Mario Lucchese, Fannie Small, Franklyn De Prez, Lucille Weisman, Mr. Lulipon",Mr. Lulipon,D'Aosta Club Concert,176
April,13,1917,Grand Opera House,Tuesday Musical Club: Loose Leaves from the Operas,Loose Leaves from the Operas,Tuesday Musical Club,177
January,2,1918,Grand Opera House,San Antonio Symphony Orchestra featuring Elllison Van Hoose (Julien Paul Blitz's first as conductor),San Antonio Symphony Orchestra featuring Elllison Van Hoose (Julien Paul Blitz's first as conductor),,178
January,26,1918,Travis Club,Minneapolis Symphony Orchestra,Minneapolis Symphony Orchestra,,179
February,4,1918,Gunter Hotel,Celia Trevino,Celia Trevino,,180
April,8,1918,Beethoven Hall,Madame Louise Homer,Madame Louise Homer,,181
May,3,1918,Beethoven Hall,Paulist Choristers,Paulist Choristers,,182
May,4,1918,Beethoven Hall,Paulist Choristers,Paulist Choristers,,183
May,5,1918,Beethoven Hall,Paulist Choristers,Paulist Choristers,,184
May,16,1918,Brackenridge Park,Army Band,Army Band,,185
May,21,1918,Aviation Club-Kelly Field,Kelly Field Symphony Orchestra,Kelly Field Symphony Orchestra,,186
June,4,1918,Ursuline Academy,Ecunemical Concert,Ecunemical Concert,,187
January,26,1919,Martinez Dance Hall,Homen Dance Orchestra,Homen Dance Orchestra,,188
February,13,1919,Empire Theater,San Antonio Symphony Orchestra featuring Francisco Hernandez (violin),San Antonio Symphony Orchestra featuring Francisco Hernandez (violin),,189
February,14,1919,Majestic Theatre,French Army Band,French Army Band,,190
April,27,1919,Martinez Dance Hall,Zoeller Orchestra,Zoeller Orchestra,,191
May,1,1920,Jenkins Residence-1010 North Olive Street,"Elks Band, Second Infantry Army Band",Elks Band,,192
May,1,1920,Jenkins Residence-1010 North Olive Street,"Elks Band, Second Infantry Army Band",Second Infantry Army Band,,192
October,12,1920,Beethoven Hall,Symphony Orchestra featuring Rafealo Diaz (tenor),Symphony Orchestra featuring Rafealo Diaz (tenor),,193
November,30,1920,Travis Park Methodist Church,"Ciccolini (tenor), Flora Briggs (piano)",Ciccolini (tenor),,194
November,30,1920,Travis Park Methodist Church,"Ciccolini (tenor), Flora Briggs (piano)",Flora Briggs (piano),,194
December,2,1920,St. Anthony Hotel,Mary Aubrey,Mary Aubrey,,195
December,7,1920,Beethoven Hall,Helen Stanley,Helen Stanley,,196
December,16,1920,Knights of Columbus Hall,"Allen McQuhae (tenor), Julien Paul Blitz (cello)",Allen McQuhae (tenor),,197
December,16,1920,Knights of Columbus Hall,"Allen McQuhae (tenor), Julien Paul Blitz (cello)",Julien Paul Blitz (cello),,197
December,17,1920,First Baptist Church,"Walter Dunham (organ), Clarence Magee (tenor)",Walter Dunham (organ),,198
December,17,1920,First Baptist Church,"Walter Dunham (organ), Clarence Magee (tenor)",Clarence Magee (tenor),,198
December,17,1920,Scottish Rite Cathedral,Boys Scouts' Band,Boys Scouts' Band,,199
December,25,1920,Camp Travis,12th Field Artillery band,12th Field Artillery band,,200
January,13,1921,Beethoven Hall,Symphony Orchestra,Symphony Orchestra,,201
January,17,1921,Beethoven Hall,Thelma Given (violin),Thelma Given (violin),,202
January,20,1921,Beethoven Hall,"Symphony Orchestra (Flora Briggs pianist, soprano Daisy Polk, conductor Julien Paul Blitz)",Symphony Orchestra (Flora Briggs pianist,,203
January,20,1921,Beethoven Hall,"Symphony Orchestra (Flora Briggs pianist, soprano Daisy Polk, conductor Julien Paul Blitz)",soprano Daisy Polk,,203
January,20,1921,Beethoven Hall,"Symphony Orchestra (Flora Briggs pianist, soprano Daisy Polk, conductor Julien Paul Blitz)",conductor Julien Paul Blitz),,203
January,27,1921,Beethoven Hall,Symphony Orchestra,Symphony Orchestra,,204
February,3,1921,Beethoven Hall,Symphony Orchestra,Symphony Orchestra,,205
February,10,1921,Beethoven Hall,Symphony Orchestra,Symphony Orchestra,,206
February,17,1921,Beethoven Hall,Symphony Orchestra,Symphony Orchestra,,207
April,14,1921,Knights of Columbus Hall,"Mrs. Fred Jones (soprano), Mrs. Guy SImpson (contralto), Howell James (baritone), Chas. Stone (tenor), Bertana Simon (violin), Walter Dunham (piano)",Mrs. Fred Jones (soprano),,208
April,14,1921,Knights of Columbus Hall,"Mrs. Fred Jones (soprano), Mrs. Guy SImpson (contralto), Howell James (baritone), Chas. Stone (tenor), Bertana Simon (violin), Walter Dunham (piano)",Mrs. Guy SImpson (contralto),,208
April,14,1921,Knights of Columbus Hall,"Mrs. Fred Jones (soprano), Mrs. Guy SImpson (contralto), Howell James (baritone), Chas. Stone (tenor), Bertana Simon (violin), Walter Dunham (piano)",Howell James (baritone),,208
April,14,1921,Knights of Columbus Hall,"Mrs. Fred Jones (soprano), Mrs. Guy SImpson (contralto), Howell James (baritone), Chas. Stone (tenor), Bertana Simon (violin), Walter Dunham (piano)",Chas. Stone (tenor),,208
April,14,1921,Knights of Columbus Hall,"Mrs. Fred Jones (soprano), Mrs. Guy SImpson (contralto), Howell James (baritone), Chas. Stone (tenor), Bertana Simon (violin), Walter Dunham (piano)",Bertana Simon (violin),,208
April,14,1921,Knights of Columbus Hall,"Mrs. Fred Jones (soprano), Mrs. Guy SImpson (contralto), Howell James (baritone), Chas. Stone (tenor), Bertana Simon (violin), Walter Dunham (piano)",Walter Dunham (piano),,208
November,23,1921,St. Anthony Hotel,Rudolph Reuter (piano),Rudolph Reuter (piano),,209
December,7,1921,Beethoven Hall,"Josef and Rosina Lhevinne (piano),",Josef and Rosina Lhevinne (piano),,210
April,13,1922,Majestic Theatre,Amelita Galli-Curci,Amelita Galli-Curci,,211
December,10,1922,Manhattan Club,Phillip Lee Eubanks and his Orchestra,Phillip Lee Eubanks and his Orchestra,,212
December,25,1922,Manhattan Club,Phillip Lee Eubanks and his Orchestra,Phillip Lee Eubanks and his Orchestra,,213
January,14,1923,Manhattan Club,Phillip Lee Eubanks and his Orchestra,Phillip Lee Eubanks and his Orchestra,,214
February,9,1923,Main Avenue High School Auditorium,Ruth Bingaman (piano),Ruth Bingaman (piano),,215
February,11,1923,Manhattan Club,Eddie Warwick and his Orchestra,Eddie Warwick and his Orchestra,,216
March,4,1923,Manhattan Club,Eddie Warwick and his Orchestra,Eddie Warwick and his Orchestra,,217
March,9,1923,Palace Theater,Don Felice and the Palace Symphony Orchestra,Don Felice and the Palace Symphony Orchestra,,218
April,1,1923,Manhattan Club,Eddie Warwick and his Orchestra,Eddie Warwick and his Orchestra,,219
April,11,1923,Main Avenue High School Auditorium,John M. Steinfeldt (piano),John M. Steinfeldt (piano),,220
June,13,1923,St. Anthony Hotel,Rex Maupin and his Orchestra,Rex Maupin and his Orchestra,,221
May,20,1924,WOAI,The Sun Dodgers,The Sun Dodgers,,222
May,29,1924,Gunter Hotel Roof,Gunter Hotel Concert Trio,Gunter Hotel Concert Trio,,223
July,16,1924,Southwestern Asylum,The Benevolent Order of Elks Choir,The Benevolent Order of Elks Choir,,224
July,25,1924,Palace Theater,Royal Theater Symphony Orcestra featuring Helen E. Smith,Royal Theater Symphony Orcestra featuring Helen E. Smith,,225
November,11,1924,Empire Theater,"Harriet Richardson Gay (contralto), Don Phillipini and his Orchestra, Jimmy Joy Orchestra, Alamo City Four",Harriet Richardson Gay (contralto),,226
November,11,1924,Empire Theater,"Harriet Richardson Gay (contralto), Don Phillipini and his Orchestra, Jimmy Joy Orchestra, Alamo City Four",Don Phillipini and his Orchestra,,226
November,11,1924,Empire Theater,"Harriet Richardson Gay (contralto), Don Phillipini and his Orchestra, Jimmy Joy Orchestra, Alamo City Four",Jimmy Joy Orchestra,,226
November,11,1924,Empire Theater,"Harriet Richardson Gay (contralto), Don Phillipini and his Orchestra, Jimmy Joy Orchestra, Alamo City Four",Alamo City Four,,226
November,24,1924,Palace Theater,Don Felice and the Palace Symphony Orchestra,Don Felice and the Palace Symphony Orchestra,,227
November,26,1924,Majestic Theatre,"The De Reszke Singers, Mildred Dilling (harp)",The De Reszke Singers,,228
November,26,1924,Majestic Theatre,"The De Reszke Singers, Mildred Dilling (harp)",Mildred Dilling (harp),,228
December,2,1924,Gunter Hotel,Whitey Kaufman and his Orchestra,Whitey Kaufman and his Orchestra,,229
December,8,1924,Majestic Theatre,Olgo Samaroff,Olgo Samaroff,,230
January,4,1925,Majestic Theatre,Feador Chaliapin,Feador Chaliapin,,231
January,21,1925,Majestic Theatre,Sophie Braslau (contralto),Sophie Braslau (contralto),,232
February,6,1925,Majestic Theatre,Paul Whiteman and his Orchestra,Paul Whiteman and his Orchestra,,233
February,7,1925,Majestic Theatre,Paul Whiteman and his Orchestra,Paul Whiteman and his Orchestra,,234
February,21,1925,Majestic Theatre,Chamber Orchestra,Chamber Orchestra,,235
March,2,1925,Majestic Theatre,Efrem Zimbalist (violin),Efrem Zimbalist (violin),,236
March,22,1925,Fest Hall,Theodore Aritz Orchestra,Theodore Aritz Orchestra,,237
March,29,1925,Majestic Theatre,Al Tucker and his Orchestra,Al Tucker and his Orchestra,,238
April,2,1925,Empire Theater,Eddie Warwick and his Orchestra,Eddie Warwick and his Orchestra,,239
April,3,1925,Empire Theater,Don Philippini and his Orchestra,Don Philippini and his Orchestra,,240
June,1,1925,San Antonio Country Club,Don Philippini and his Orchestra,Don Philippini and his Orchestra,,241
August,25,1925,First Baptist Church,Otto Zoeller and his Orchestra,Otto Zoeller and his Orchestra,,242
September,20,1925,Bear Field,"IGN Rooster Brass Band, San Antonio Firemen's Band",IGN Rooster Brass Band,,243
September,20,1925,Bear Field,"IGN Rooster Brass Band, San Antonio Firemen's Band",San Antonio Firemen's Band,,243
November,1,1925,Majestic Theatre,"Florence Tempest, Homer Dickinson, Robert Hodge",Florence Tempest,,244
November,1,1925,Majestic Theatre,"Florence Tempest, Homer Dickinson, Robert Hodge",Homer Dickinson,,244
November,1,1925,Majestic Theatre,"Florence Tempest, Homer Dickinson, Robert Hodge",Robert Hodge,,244
November,8,1925,Majestic Theatre,"Sam Ezell and his Orchestra, Vernon Geyer (organ)",Sam Ezell and his Orchestra,,245
November,8,1925,Majestic Theatre,"Sam Ezell and his Orchestra, Vernon Geyer (organ)",Vernon Geyer (organ),,245
December,18,1925,Rialto Theater,Ernest Hauser and his Orchestra,Ernest Hauser and his Orchestra,,246
December,19,1925,Rialto Theater,Ernest Hauser and his Orchestra,Ernest Hauser and his Orchestra,,247
December,25,1925,Rialto Theater,Ernest Hauser and his Orchestra,Ernest Hauser and his Orchestra,,248
December,28,1925,Empire Theater,Max Fink and his Orchestra,Max Fink and his Orchestra,,249
January,12,1926,Gunter Hotel,Earl Burntnett and his Orchestra,Earl Burntnett and his Orchestra,,250
January,17,1926,Empire Theater,Max Fink and his Orchestra,Max Fink and his Orchestra,,251
January,17,1926,Palace Theater,Don Felice and the Palace Symphony Orchestra,Don Felice and the Palace Symphony Orchestra,,252
January,31,1926,Empire Theater,Max Fink and his Orchestra,Max Fink and his Orchestra,,253
February,14,1926,Empire Theater,Max Fink and his Orchestra,Max Fink and his Orchestra,,254
March,5,1926,Majestic Theatre,Ignace J. Paderewski (piano),Ignace J. Paderewski (piano),,255
March,20,1926,San Antonio College,"Graduate Recital: Mrs. Omer Roan, Judith Olaciregui, Olivia Schawe",Mrs. Omer Roan,Graduate Recital,256
March,20,1926,San Antonio College,"Graduate Recital: Mrs. Omer Roan, Judith Olaciregui, Olivia Schawe",Judith Olaciregui,Graduate Recital,256
March,20,1926,San Antonio College,"Graduate Recital: Mrs. Omer Roan, Judith Olaciregui, Olivia Schawe",Olivia Schawe,Graduate Recital,256
March,28,1926,Empire Theater,Max Fink and his Orchestra,Max Fink and his Orchestra,,257
May,2,1926,Empire Theater,"Max Fink and his Orchestra, Doris Rue",Max Fink and his Orchestra,,258
May,2,1926,Empire Theater,"Max Fink and his Orchestra, Doris Rue",Doris Rue,,258
May,9,1926,Palace Theater,"Don Felice and the Palace Symphony Orchestra featuring Jose Tovar (piano), Lupe de Ortega (soprano), Silverstre Revueltas",Don Felice and the Palace Symphony Orchestra featuring Jose Tovar (piano),,259
May,9,1926,Palace Theater,"Don Felice and the Palace Symphony Orchestra featuring Jose Tovar (piano), Lupe de Ortega (soprano), Silverstre Revueltas",Lupe de Ortega (soprano),,259
May,9,1926,Palace Theater,"Don Felice and the Palace Symphony Orchestra featuring Jose Tovar (piano), Lupe de Ortega (soprano), Silverstre Revueltas",Silverstre Revueltas,,259
May,9,1926,Empire Theater,Max Fink and his Orchestra,Max Fink and his Orchestra,,260
June,20,1926,Empire Theater,Max Fink and his Orchestra,Max Fink and his Orchestra,,261
June,25,1926,Empire Theater,Max Fink and his Orchestra,Max Fink and his Orchestra,,262
June,25,1926,Gunter Hotel Roof,Alphonse Trent's Orchestra,Alphonse Trent's Orchestra,,263
